,cameraLocation,cameraNumber,cameraProject,Location 1,latitude,longitude,neighborhood
171,Barclay St and Whitridge Ave,505,Greenmount,"(39.321522999999999, -76.611159000000001)",39.321523,-76.611159,Harwood
172,Greenmount Ave and E Lorraine Ave,506,Greenmount,"(39.320011999999998, -76.609532000000002)",39.320012,-76.609532,Harwood
173,Guilford Ave and E 26th St,507,Greenmount,"(39.319519999999997, -76.612954000000002)",39.31952,-76.612954,Barclay
174,Falls St Alley and E 25th St,508,Greenmount,"(39.318060000000003, -76.612168999999994)",39.31806,-76.612169,OldGoucher
175,Greenmount Ave and E 25th St,509,Greenmount,"(39.318148000000001, -76.609463000000005)",39.318148,-76.609463,Harwood
176,Boone St and E 24th St,510,Greenmount,"(39.316587576869253, -76.608768403530121)",39.31658757686925,-76.60876840353012,Baltimore
177,Cokesbury Ave and E 23rd St,511,Greenmount,"(39.316037000000001, -76.607444999999998)",39.316037,-76.607445,EastBaltimoreMidway
178,Brentwood Ave and E 24th St,512,Greenmount,"(39.316257, -76.610428999999996)",39.316257,-76.610429,Barclay
179,Greenmount Ave and E 23rd St,513,Greenmount,"(39.315491000000002, -76.609523999999993)",39.315491,-76.609524,Barclay
180,Guilford Ave and E 23rd St,514,Greenmount,"(39.315424, -76.612717000000004)",39.315424,-76.612717,Barclay
181,E 23rd St and Boone St,515,Greenmount,"(39.315440000000002, -76.608204000000001)",39.31544,-76.608204,Barclay
182,Greenmount Ave and E 22nd St,516,Greenmount,"(39.314506999999999, -76.609555999999998)",39.314507,-76.609556,Barclay
183,HomewoodAve and E 22nd St,517,Greenmount,"(39.314627999999999, -76.607321999999996)",39.314628,-76.607322,Barclay
184,BarclaySt and 21st1/2 St,518,Greenmount,"(39.314009206095243, -76.611210554838181)",39.31400920609524,-76.61121055483818,Barclay
185,GuilfordAve and E 21st St,519,Greenmount,"(39.313395999999997, -76.612605000000002)",39.313396,-76.612605,Barclay
186,BooneSt and E 21st St,520,Greenmount,"(39.313540000000003, -76.608453999999995)",39.31354,-76.608454,Barclay
187,Greenmount Ave and Worsley St,521,Greenmount,"(39.312736999999998, -76.609537000000003)",39.312737,-76.609537,GreenmountAvenue
188,Barclay St and E 20th St,522,Greenmount,"(39.312432000000001, -76.611052000000001)",39.312432,-76.611052,Barclay
189,Barclay St and Heaver St,523,Greenmount,"(39.312016999999997, -76.61103)",39.312017,-76.61103,GreenmountWest
190,Greenmount Ave and E North Ave,524,Greenmount,"(39.311215950332382, -76.609618663787842)",39.31121595033238,-76.60961866378784,EastNorthAvenue
191,E North Ave and Guilford Ave,525,Greenmount,"(39.311306000000002, -76.611808999999994)",39.311306,-76.611809,GreenmountWest
192,N Calvert St and McAllister St,526,Greenmount,"(39.310576764688527, -76.613631248474121)",39.31057676468853,-76.61363124847412,GreenmountWest
193,Guilford Ave and E Lafayette Ave,527,Greenmount,"(39.310091, -76.612380000000002)",39.310091,-76.61238,GreenmountWest
194,Barclay St and E Lafayette Ave,528,Greenmount,"(39.310032999999997, -76.610892000000007)",39.310033,-76.610892,GreenmountWest
195,Barclay St and Pitman Pl,529,Greenmount,"(39.308463000000003, -76.610750999999993)",39.308463,-76.610751,GreenmountWest
196,Greenmount Ave and E Preston St,530,Greenmount,"(39.304839000000001, -76.608198999999999)",39.304839,-76.608199,GreenmountAvenue
197,Greenmount Ave and E Biddle St,531,Greenmount,"(39.303781999999998, -76.607929999999996)",39.303782,-76.60793,GreenmountWest
198,Greenmount Ave and E Chase St,532,Greenmount,"(39.302734000000001, -76.607641999999998)",39.302734,-76.607642,GreenmountAvenue
199,Greenmount Ave and E Eager St,533,Greenmount,"(39.301361, -76.607269000000002)",39.301361,-76.607269,EastEagerStreet
200,Greenmount Ave and E 29th St,534,Greenmount,"(39.324668506886333, -76.612491308403833)",39.32466850688633,-76.61249130840383,Abell
201,Greenmount Ave and E 30th St,535,Greenmount,"(39.323561803873233, -76.608828638501038)",39.32356180387323,-76.60882863850104,Abell
202,Greenmount Ave and E 31st St,536,Greenmount,"(39.325619074558503, -76.608588963083704)",39.3256190745585,-76.6085889630837,Abell
203,Greenmount Ave and E 32nd St,537,Greenmount,"(39.327658005347253, -76.609099552615518)",39.32765800534725,-76.60909955261552,Abell
204,Greenmount Ave and E 33rd St,538,Greenmount,"(39.328971981558936, -76.609427388260741)",39.32897198155894,-76.60942738826074,Waverly
205,E Monument St and N Chester St,601,Monument,"(39.298647000000003, -76.587868999999998)",39.298647,-76.587869,McElderryPark
206,McElderry St and N Duncan St,602,Monument,"(39.297607091153168, -76.587149798870087)",39.29760709115317,-76.58714979887009,ButchersHill
207,E Monument St and Collington,603,Monument,"(39.298690999999998, -76.586667000000006)",39.298691,-76.586667,ButchersHill
208,E Madison St and N Mederia St,604,Monument,"(39.299697261790918, -76.585991084575653)",39.29969726179092,-76.58599108457565,ButchersHill
209,E Monument St and N Patterson Park Ave,605,Monument,"(39.298669827220472, -76.584993302822113)",39.29866982722047,-76.58499330282211,McElderryPark
210,McElderry St and N Bradford St,606,Monument,"(39.297621620856617, -76.584298610687256)",39.29762162085662,-76.58429861068726,McElderryPark
211,E Monument St and N Montford Ave,607,Monument,"(39.298806999999996, -76.583720999999997)",39.298807,-76.583721,McElderryPark
212,E Madison St and N Port,608,Monument,"(39.299892999999997, -76.583081000000007)",39.299893,-76.583081,McElderryPark
213,E Monument St and N Milton Ave,609,Monument,"(39.298861000000002, -76.582318999999998)",39.298861,-76.582319,McElderryPark
